"Number","Part No.","Part description","Free text","Vendor part no.","Group number","Group name","Quantity","Lot","Total","Tax","Total including tax","Unit cost","Currency","Total (in currency)","Tax (in currency)","Total including tax (in currency)","Unit cost (in currency)","Status","Product status","Created by","Created","Expected date","Arrival date","Order ID","Order date","Invoice ID","Invoice date","Due date","Shipped on","Delay","Vendor number","Vendor name","PO free text","B.W.E. Job ID","PO Emailed","Attention","NOTES","ACCOUNT","Notes","BWE added value cost","Buy Price","Supplier 1","S1 Buy price","Vender Part Number","Supplier 2","S2 Buy Price","Vender 2 Part Number","Sell Price"
"PO00415","CVL1500ELNT_01MF_001","Main Frame Non Tilt 0 - 1500kg WLL","POWDER COAT BLAZE BLUE",,"AG00004.1","Vaclift",1,"L01903",1,0.1,1.1,1,"$",1,0.1,1.1,1,"Received","Received","David C","21/05/2026","21/05/2026","01/06/2026",1,"01/06/2026",1,"01/06/2026","01/06/2026","01/06/2026",11,"V00183","BUNDALL POWDER COATING",,"SN704 & 702","Y","JOHN Mc",,"Y",,,,,,,,,,
"PO00415","FVL1500NT_01MF_016","Main Frame TB150 1500kg WLL Weldment","POWDERCOAT AS DRAWN",,"AG00004.1","Vaclift",1,,1,0.1,1.1,1,"$",1,0.1,1.1,1,"Received","Received","David C","21/05/2026","21/05/2026","01/06/2026",1,"01/06/2026",1,"01/06/2026","01/06/2026","01/06/2026",11,"V00183","BUNDALL POWDER COATING",,"SN704 & 702","Y","JOHN Mc",,"Y",,,,,,,,,,
"PO00415","HA_EL_W_065_0660_01_REV A","End Loader Handle TB65 660mm L Weldment","POWDER COAT SAFETY YELLOW",,"AG00004.1","Vaclift",1,"L01904",1,0.1,1.1,1,"$",1,0.1,1.1,1,"Received","Received","David C","21/05/2026","21/05/2026","01/06/2026",1,"01/06/2026",1,"01/06/2026","01/06/2026","01/06/2026",11,"V00183","BUNDALL POWDER COATING",,"SN704 & 702","Y","JOHN Mc",,"Y",,,,,,,,,,
"PO00415","SDL_W_40_160_001","Set Down Leg Center Weldment","POWDER COAT YELLOW",,"AG00004.1","Vaclift",2,"L01902",70,7,77,35,"$",70,7,77,35,"Received","Received","David C","21/05/2026","21/05/2026","01/06/2026",1,"01/06/2026",1,"01/06/2026","01/06/2026","01/06/2026",11,"V00183","BUNDALL POWDER COATING",,"SN704 & 702","Y","JOHN Mc",,"Y",,,,,,,,,,
"PO00415","TB150_5900_001","Tool Bar 5900 L to Suit Slider Extensions","POWDER COAT",,"AG00004.1","Vaclift",1,,250,25,275,250,"$",250,25,275,250,"Received","Received","David C","21/05/2026","21/05/2026","01/06/2026",1,"01/06/2026",1,"01/06/2026","01/06/2026","01/06/2026",11,"V00183","BUNDALL POWDER COATING",,"SN704 & 702","Y","JOHN Mc",,"Y",,,,,,,,,,
"PO00415","TBSE_150_100_2250_001","Slider Extender Beam Weldment","POWDER COAT",,"AG00004.1","Vaclift",2,,350,35,385,175,"$",350,35,385,175,"Received","Received","David C","21/05/2026","21/05/2026","01/06/2026",1,"01/06/2026",1,"01/06/2026","01/06/2026","01/06/2026",11,"V00183","BUNDALL POWDER COATING",,"SN704 & 702","Y","JOHN Mc",,"Y",,,,,,,,,,
"PO00414","SDLM_W_150_001","Set Down Leg Mount to Suit TB150 Weldment","ZINCPLATE SLIVER",,"AG00004.1","Vaclift",2,,20,2,22,10,"$",20,2,22,10,"Received","Received","David C","21/05/2026","21/05/2026","01/06/2026",1,"01/06/2026",1,"29/05/2026","31/05/2026","01/06/2026",11,"V00122","GOLD COAST ELECTROPLATING",,"SN702",,"JOHN Mc",,,,,,,,,,,,
"PO00414","SPD_BAR_065_1500_001","65mm Spreader Bar 1500 L to Suit RHS 100 W",,,"AG00004.1","Vaclift",2,"L01905",40,4,44,20,"$",40,4,44,20,"Received","Received","David C","21/05/2026","21/05/2026","01/06/2026",1,"01/06/2026",1,"29/05/2026","31/05/2026","01/06/2026",11,"V00122","GOLD COAST ELECTROPLATING",,"SN702",,"JOHN Mc",,,,,,,,,,,,
"PO00414","SPD_BAR_065_1500_004","65mm Spreader Bar 1500 L to Suit RHS 150 W","ZINCPLATE",,"AG00004.1","Vaclift",2,,40,4,44,20,"$",40,4,44,20,"Received","Received","David C","21/05/2026","21/05/2026","01/06/2026",1,"01/06/2026",1,"29/05/2026","31/05/2026","01/06/2026",11,"V00122","GOLD COAST ELECTROPLATING",,"SN702",,"JOHN Mc",,,,,,,,,,,,
"PO00413","SPD_BAR_065_1500_001","65mm Spreader Bar 1500 L to Suit RHS 100 W","ZINCPLATE",,"AG00004.1","Vaclift",2,,2,0.2,2.2,1,"$",2,0.2,2.2,1,"Received","Received","David C","21/05/2026","29/05/2026","01/06/2026",1,"01/06/2026",1,"01/06/2026","03/06/2026","01/06/2026",3,"V00122","GOLD COAST ELECTROPLATING",,"SN702","Y","JOHN Mc",,,,,,,,,,,,
"PO00412","A0001073","30MM ALUMINIUM ROUND BAR MS30","FULL LENGTH",,,,3.6,"L01899",121.07,12.11,133.18,33.630555555556,"AUD",121.07,12.11,133.18,33.630555555556,"Received","Received","Admin","20/05/2026","25/05/2026","20/05/2026",,"20/05/2026",,,,,0,"V00114","ACTION ALUMINIUM",,"STOCK","Y","DERRYN F",,"N",,,,,,,,,,
"PO00411","10mm Plate Aluminium 5083","10mm Plate Aluminium 5083","1 X 2400MM X 1200MM PLATE",,"AG00009.10","Material Raw Sheet & Plate Aluminium",2.88,"L01897",585,58.5,643.5,203.125,"AUD",585,58.5,643.5,203.125,"Received","Received","Admin","20/05/2026","27/05/2026","22/05/2026",,"20/05/2026",,,,,0,"V00105","TSM - THE STEEL MARKET PTY. LTD",,"stock","Y","DERRYN F",,"Y",,,,,,,,,,
"PO00411","16mm Plate Aluminium 5083","16mm Plate Aluminium 5083","1 X 2400MM X 1200MM PLATE",,"AG00009.10","Material Raw Sheet & Plate Aluminium",2.88,"L01898",1,0.1,1.1,0.34722222222222,"AUD",1,0.1,1.1,0.34722222222222,"Received","Received","Admin","20/05/2026","27/05/2026","22/05/2026",,"20/05/2026",,,,,0,"V00105","TSM - THE STEEL MARKET PTY. LTD",,"stock","Y","DERRYN F",,"Y",,,,,,,,,,
"PO00411","A0001358","3MM SHEET STAINLESS STEEL 316 2B","2 x 2400mm x 1200mm SHEETS",,,,5.76,"L01896",1,0.1,1.1,0.17361111111111,"AUD",1,0.1,1.1,0.17361111111111,"Received","Received","Admin","20/05/2026","27/05/2026","22/05/2026",,"20/05/2026",,,,,0,"V00105","TSM - THE STEEL MARKET PTY. LTD",,"stock","Y","DERRYN F",,"Y",,,,,,,,,,
"PO00410",28357,"""TEXAS - T"" 1400 MM LONG","E-POLISHED",,,,1,"L01895",1,0.1,1.1,1,"AUD",1,0.1,1.1,1,"Received","Received","Admin","20/05/2026","20/05/2026","25/05/2026",,"20/05/2026",,,,,5,"V00279","SOUTHERN STAINLESS",,"TEXAS - T","Y","DERRYN F",,"Y",,,,,,,,,,
"PO00409","A0002014","16 ER 14UN-CB AC530U","1 PACK OF 5 TIPS",,,,5,"L01894",5,0.5,5.5,1,"$",5,0.5,5.5,1,"Received","Received","Admin","20/05/2026","20/05/2026","26/05/2026",,"20/05/2026",,,,,6,"V00135","SEI CARBIDE",,"STOCK","Y","DERRYN F",,"N",,,,,,,,,,
"PO00408","FREIGHT","FREIGHT",,,,,1,"L01893",1.5,0,1.5,1.5,"USD",1,0,1,1,"Received","Received","David C","20/05/2026","01/07/2026","13/07/2026",,"20/05/2026",1,"20/05/2026","10/06/2026","03/07/2026",12,"V00335","SHENZHEN TENCHY SILICONE RUBBER CO. LDT",,"STOCK","Y","JOHN Mc",,"N",,,,,,,,,,
"PO00408","VLPF-020","CNC PAD SEAL 20mm","100M PER ROLL",,"AG00004","Blue Water Engineering",100,"L01892",1500,0,1500,15,"USD",1000,0,1000,10,"Received","Received","David C","20/05/2026","01/07/2026","13/07/2026",,"20/05/2026",1,"20/05/2026","10/06/2026","03/07/2026",12,"V00335","SHENZHEN TENCHY SILICONE RUBBER CO. LDT",,"STOCK","Y","JOHN Mc",,"N",,,,,,,,,,
"PO00407","A0001064","DEWALT 2750MM X 27MM X 0.9MM X 6/10TPI BIMETAL BANDSAW BLADE",,,,,4,"L01891",0,0,0,0,"AUD",0,0,0,0,"Ordered","Planned","Admin","20/05/2026","20/05/2026",,,"20/05/2026",,,,,77,"V00142","AUSTECH SAW & TOOLING",,"stock","Y","DERRYN F",,,,,,,,,,,,
"PO00406","10mm Plate Aluminium 5083","10mm Plate Aluminium 5083","1 X 3000MM X 1500MM PLATE",,"AG00009.10","Material Raw Sheet & Plate Aluminium",4.5,"L01889",1257.16,125.72,1382.88,279.36888888889,"AUD",1257.16,125.72,1382.88,279.36888888889,"Received","Received","Admin","19/05/2026","20/05/2026","29/05/2026",,"19/05/2026",,,,,9,9340011,"BLUESCOPE DISTRIBUTION",,"AMI","Y","DERRYN F",,,,,,,,,,,,
"PO00406","10mm Plate Aluminium 5083","10mm Plate Aluminium 5083","2 X 6000MM X 2000MM PLATES",,"AG00009.10","Material Raw Sheet & Plate Aluminium",24,"L01888",6613.44,661.34,7274.78,275.56,"AUD",6613.44,661.34,7274.78,275.56,"Received","Received","Admin","19/05/2026","20/05/2026","29/05/2026",,"19/05/2026",,,,,9,9340011,"BLUESCOPE DISTRIBUTION",,"AMI","Y","DERRYN F",,,,,,,,,,,,
"PO00406","A00141","FREIGHT INWARD","INCLUDES $35 DELIVERY SURCHARGE",,"AG00011","FREIGHT INWARD",1,"L01890",155,15.5,170.5,155,"AUD",155,15.5,170.5,155,"Received","Received","Admin","19/05/2026","20/05/2026","29/05/2026",,"19/05/2026",,,,,9,9340011,"BLUESCOPE DISTRIBUTION",,"AMI","Y","DERRYN F",,,,,,,,,,,,
"PO00405","PHV_470_225_W_002","PHV 470 x 225 x 122H Hanger Plate TB65 Weldment","ELTRO MPOLISH",,"AG00004.1","Vaclift",27,,540,54,594,20,"$",540,54,594,20,"Received","Received","David C","19/05/2026","29/05/2026","25/05/2026",,,,,,,0,"V00279","SOUTHERN STAINLESS",,"STOCK",,"JOHN Mc",,"Y",,,,,,,,,,
"PO00404","A0002007","SANDING BELT 120 GRIT 100 X 915 GREEN",,,,,10,"L01883",10,1,11,1,"$",10,1,11,1,"Received","Received","Admin","18/05/2026","18/05/2026","26/05/2026",,"18/05/2026",,,,,8,"V00196","PACIFIC COATINGS",,"STOCK","Y","DERRYN F",,,,,,,,,,,,
"PO00404","A0002008","SANDING BELT 120 GRIT 50 X 915 GREEN",,,,,10,"L01884",10,1,11,1,"$",10,1,11,1,"Received","Received","Admin","18/05/2026","18/05/2026","26/05/2026",,"18/05/2026",,,,,8,"V00196","PACIFIC COATINGS",,"STOCK","Y","DERRYN F",,,,,,,,,,,,
"PO00403","SPD_BAR_065_1200_001","Spreader 65mm 1200mm Weldment","ZINCPLATE ALL PARTS",,"AG00004.1","Vaclift",4,,23,2.3,25.3,5.75,"$",23,2.3,25.3,5.75,"New PO","Requested","David C","14/05/2026","29/05/2026",,,,,,,,68,"V00122","GOLD COAST ELECTROPLATING",,"STOCK","Y","JOHN Mc",,,,,,,,,,,,
"PO00403","TB065_4000_001_REV A","Tool Bar 4000 L to Suit Frame 570 W RHS 70 L CTS 750 kg W.L.L.","ZINCPLATE",,"AG00004.1","Vaclift",1,,30,3,33,30,"$",30,3,33,30,"New PO","Requested","David C","14/05/2026","29/05/2026",,,,,,,,68,"V00122","GOLD COAST ELECTROPLATING",,"STOCK","Y","JOHN Mc",,,,,,,,,,,,
"PO00402","1.2mm Sheet Stainless Steel 304 2B","1.2mm Sheet Stainless Steel 304 2B","2400MM X 1200MM SHEET",,"AG00009.12","Material Raw Sheet & Plate Stainless Steel",2.88,"L01841",135,13.5,148.5,46.875,"AUD",135,13.5,148.5,46.875,"Received","Received","Admin","12/05/2026","19/05/2026","14/05/2026",,"12/05/2026",,,,,0,"V00105","TSM - THE STEEL MARKET PTY. LTD",,"JOB","Y","DERRYN F",,"Y",,,,,,,,,,
"PO00402","16mm Plate Aluminium 5083","16mm Plate Aluminium 5083","2 X 2400MM X 1200MM PLATES",,"AG00009.10","Material Raw Sheet & Plate Aluminium",5.76,"L01844",1900,190,2090,329.86111111111,"AUD",1900,190,2090,329.86111111111,"Received","Received","Admin","12/05/2026","19/05/2026","14/05/2026",,"12/05/2026",,,,,0,"V00105","TSM - THE STEEL MARKET PTY. LTD",,"JOB","Y","DERRYN F",,"Y",,,,,,,,,,
"PO00402","4mm Plate Stainless Steel 304 2B","4mm Plate Stainless Steel 304 2B","2400MM X 1200MM PLATE",,"AG00009.12","Material Raw Sheet & Plate Stainless Steel",2.88,"L01842",448,44.8,492.8,155.55555555556,"AUD",448,44.8,492.8,155.55555555556,"Received","Received","Admin","12/05/2026","19/05/2026","14/05/2026",,"12/05/2026",,,,,0,"V00105","TSM - THE STEEL MARKET PTY. LTD",,"JOB","Y","DERRYN F",,"Y",,,,,,,,,,
"PO00402","A0001451","5MM PLATE STAINLESS STEEL 316 2B","2400MM X 1200MM PLATE",,,,2.88,"L01843",960,96,1056,333.33333333333,"AUD",960,96,1056,333.33333333333,"Received","Received","Admin","12/05/2026","19/05/2026","14/05/2026",,"12/05/2026",,,,,0,"V00105","TSM - THE STEEL MARKET PTY. LTD",,"JOB","Y","DERRYN F",,"Y",,,,,,,,,,
"PO00402","A00141","FREIGHT INWARD",,,"AG00011","FREIGHT INWARD",1,"L01845",0,0,0,0,"AUD",0,0,0,0,"Received","Received","Admin","12/05/2026","19/05/2026","14/05/2026",,"12/05/2026",,,,,0,"V00105","TSM - THE STEEL MARKET PTY. LTD",,"JOB","Y","DERRYN F",,"Y",,,,,,,,,,
"PO00401","A0000601","MX3-300 - INOX MX3 LUBRICANT 300G AEROSOL",,"MX3-300","AG00004.1","Vaclift",2,"L01836",23,2.3,25.3,11.5,"$",23,2.3,25.3,11.5,"Received","Received","Admin","12/05/2026","12/05/2026","26/05/2026",,"12/05/2026",,,,,14,"V00128","BUILD IT FASTENERS",,"STOCK","Y","JOHN Mc",,,,,11.50,"BUILD IT FASTENERS",,,,,,
"PO00401","A0001975","R CLIP VACLIFT LEG PIN - 59MM X 3MM","(BOX)",,,,1,"L01833",1,0.1,1.1,1,"$",1,0.1,1.1,1,"Received","Received","Admin","12/05/2026","12/05/2026","26/05/2026",,"12/05/2026",,,,,14,"V00128","BUILD IT FASTENERS",,"STOCK","Y","JOHN Mc",,,,,,,,,,,,
"PO00401","A0001976","M3 X 12 PAN PHILLIPS ZP","(BOX)",,,,1,"L01839",1,0.1,1.1,1,"$",1,0.1,1.1,1,"Received","Received","Admin","12/05/2026","12/05/2026","26/05/2026",,"12/05/2026",,,,,14,"V00128","BUILD IT FASTENERS",,"STOCK","Y","JOHN Mc",,,,,,,,,,,,
"PO00401","M3 NYLOC NUT ZP","M3 NYLOC NUT ZP","(BOX)",,"AG00007","Fastener",1,"L01838",0.0258,0,0.0258,0.0258,"$",0.0258,0,0.0258,0.0258,"Received","Received","Admin","12/05/2026","12/05/2026","26/05/2026",,"12/05/2026",,,,,14,"V00128","BUILD IT FASTENERS",,"STOCK","Y","JOHN Mc",,,,,,,,,,,,
"PO00401","M6 FLAT WASHER ZP","M6 FLAT WASHER ZP","(BOX)",,,,1,"L01834",0.02,0,0.02,0.02,"$",0.02,0,0.02,0.02,"Received","Received","Admin","12/05/2026","12/05/2026","26/05/2026",,"12/05/2026",,,,,14,"V00128","BUILD IT FASTENERS",,"STOCK","Y","JOHN Mc",,,,,,,,,,,,
"PO00401","M6 NYLOC NUT ZP","M6 NYLOC NUT ZP","(BOX)",,"AG00007","Fastener",1,"L01835",0.03,0,0.03,0.03,"$",0.03,0,0.03,0.03,"Received","Received","Admin","12/05/2026","12/05/2026","26/05/2026",,"12/05/2026",,,,,14,"V00128","BUILD IT FASTENERS",,"STOCK","Y","JOHN Mc",,,,,,,,,,,,
"PO00401","M8 FLAT WASHER ZP","M8 FLAT WASHER ZP","(BOX)","M8WZPE","AG00007","Fastener",1,"L01855",0.02,0,0.02,0.02,"$",0.02,0,0.02,0.02,"Received","Received","Admin","12/05/2026","12/05/2026","26/05/2026",,"12/05/2026",,,,,14,"V00128","BUILD IT FASTENERS",,"STOCK","Y","JOHN Mc",,,,,,,,,,,,
"PO00400","A0001630","Reusable cartridge - annodised and laser etch logo. (same size primer size hole as the black plastic","Shot gun adaptors to be annodised orange",,,,21,"L01825",21,2.1,23.1,1,"AUD",21,2.1,23.1,1,"Received","Received","Admin","07/05/2026","07/05/2026","20/05/2026",,"07/05/2026",,,"22/05/2026",,13,"V00206","SPECIALISED ANODISING SERVICE",,"NOY","Y","DERRYN F",,,,,,,,,,,,
"PO00399","FREIGHT","FREIGHT",,,,,1,"L01824",1.5,0.15,1.65,1.5,"USD",1,0.1,1.1,1,"Ordered","Planned","David C","07/05/2026","18/06/2026",,1,"08/05/2026",1,"08/05/2026",,,48,"V00320","LUNYEE IDUSTRIES DEVELOPEMENT CO. LIMTED",,"STOCK","Y","JOHN Mc",,"N",,,,,,,,,,
"PO00399","VLPE-015","ELECTRIC ACTUATOR (ram)","'- LOAD 12,000N
- STROKE 200MM
- VOLTAGE 12V
- FRONT FITTING OPTION #6, 12.2 DIA HOLE AND 8.2 SLOT
- REAR FITTING #8, 12.2 DIA HOLE AND 8.2 SLOT
- MOUNTED AT 0 DEGREES ROTATION
- CABLE LENGTH 2.0 METERS
- OTHERS ARE STANDARD","LYI-02","AG00005.3","Electrical",5,"L01823",1350,135,1485,270,"USD",900,90,990,180,"Ordered","Planned","David C","07/05/2026","18/06/2026",,1,"08/05/2026",1,"08/05/2026",,,48,"V00320","LUNYEE IDUSTRIES DEVELOPEMENT CO. LIMTED",,"STOCK","Y","JOHN Mc",,"N","requires control PCB to operate",,,,,,"Linak","'-","360454-00",
"PO00398","A0000714","Revcut Blue 200mm No-Hole Velstick Sanding Discs 320 Grit 50/Box","1 x BOX -THICKEST TYPE FOR STAINLESS STEEL PLEASE.",,,,1,"L01816",89.5,8.95,98.45,89.5,"$",89.5,8.95,98.45,89.5,"Received","Received","Admin","06/05/2026","06/05/2026","12/05/2026",,"06/05/2026",,,,,6,"V00196","PACIFIC COATINGS",,"SANDING","Y","DERRYN F",,,,,,,,,,,,
"PO00398","A0001857","BACK UP PAD FOR 8 INCH SANDING DISCS",,,,,1,"L01817",1,0.1,1.1,1,"$",1,0.1,1.1,1,"Received","Received","Admin","06/05/2026","06/05/2026","12/05/2026",,"06/05/2026",,,,,6,"V00196","PACIFIC COATINGS",,"SANDING","Y","DERRYN F",,,,,,,,,,,,
"PO00397","A0001917","6MM PLATE ALUMINIUM 5 BAR TREADPLATE 5052","2 X PLATES - 3000MM X 1500MM",,,,9,"L01814",1442.36,144.24,1586.6,160.26222222222,"AUD",1442.36,144.24,1586.6,160.26222222222,"Received","Received","Admin","06/05/2026","12/05/2026","26/05/2026",,"06/05/2026",,,"13/05/2026",,14,"V00161","VULCAN PLATE PROCESSING",,"VAC","Y","DAVID C",,,,,,,,,,,,
"PO00397","A00141","FREIGHT INWARD",,,"AG00011","FREIGHT INWARD",1,"L01815",48,4.8,52.8,48,"AUD",48,4.8,52.8,48,"Received","Received","Admin","06/05/2026","12/05/2026","26/05/2026",,"06/05/2026",,,"13/05/2026",,14,"V00161","VULCAN PLATE PROCESSING",,"VAC","Y","DAVID C",,,,,,,,,,,,
"PO00396","A0000886","1"" sched 80 pipe 316 SS - 33.4 OD - 23.8 ID","6.1 METER LENGTH",,,,4,"L01813",1268.8,126.88,1395.68,317.2,"AUD",1268.8,126.88,1395.68,317.2,"Received","Received","Admin","06/05/2026","06/05/2026","11/05/2026",,"06/05/2026",,,"12/05/2026",,5,"V00245","MIDWAY METALS",,"BUSHES","Y","DERRYN F",,"Y",,,,,,,,,,
"PO00395","A0000585","18099 BLACK MAXSTRETCH XTREME 500MMX300M 15UM",,18099,"AG00004","Blue Water Engineering",10,"L01812",212.5,21.25,233.75,21.25,"AUD",212.5,21.25,233.75,21.25,"Received","Received","Admin","06/05/2026","06/05/2026","11/05/2026",,"06/05/2026",,,,,5,"V00113","ABL DISTRIBUTION",,"PACKING",,"DERRYN F",,,,,21.25,"ABL DISTRIBUTION",,,,,,
"PO00395","A0000586","1805 BLACK BUNDLING FILM 100MMX250M 20UM CAST",,1805,"AG00004","Blue Water Engineering",12,"L01811",107.4,10.74,118.14,8.95,"AUD",107.4,10.74,118.14,8.95,"Received","Received","Admin","06/05/2026","06/05/2026","11/05/2026",,"06/05/2026",,,,,5,"V00113","ABL DISTRIBUTION",,"PACKING",,"DERRYN F",,,,,8.95,"ABL DISTRIBUITORS",,,,,,
"PO00394","VLPE-043","Capacitor for relay/pump 16V 4700uF",,"R5222","AG00005.3","Electrical",12,"L01800",9.84,0.98,10.82,0.82,"AUD",9.84,0.98,10.82,0.82,"Received","Received","David C","05/05/2026","13/05/2026","06/05/2026",1,"04/05/2026",1,"04/05/2026","06/05/2026","06/05/2026",0,"V00042","ALTRONICS","PLEASE ARRANGE FREIGHT","STOCK","Y","JOHN Mc",,,,,"$4.18",,,,"www.altronics.com.au","'-",,
"PO00394","VLPE-086","10 Way 5.08mm Vert. PCB Mount Boxed Pluggable Skt",,"P2580","AG00004.1","Vaclift",12,"L01805",10.56,1.06,11.62,0.88,"AUD",10.56,1.06,11.62,0.88,"Received","Received","David C","05/05/2026","03/06/2026","06/05/2026",1,"04/05/2026",1,"04/05/2026","06/05/2026","06/05/2026",0,"V00042","ALTRONICS","PLEASE ARRANGE FREIGHT","STOCK","Y","JOHN Mc",,,,,,,,,,,,
"PO00394","VLPE-087","Socket PCB 12way vertical dinkle 5.08",,"S2582","AG00005.3","Electrical",12,"L01802",12.36,1.24,13.6,1.03,"AUD",12.36,1.24,13.6,1.03,"Received","Received","David C","05/05/2026","13/05/2026","06/05/2026",1,"04/05/2026",1,"04/05/2026","06/05/2026","06/05/2026",0,"V00042","ALTRONICS","PLEASE ARRANGE FREIGHT","STOCK","Y","JOHN Mc",,,,,".96c","Alltronics",,,"'-","'-",,
"PO00394","VLPE-092","Fuse block PCB mount blade type",,,"AG00005.3","Electrical",30,"L01797",0.03,0,0.03,0.001,"AUD",0.03,0,0.03,0.001,"Received","Received","David C","05/05/2026","13/05/2026","06/05/2026",1,"04/05/2026",1,"04/05/2026","06/05/2026","06/05/2026",0,"V00042","ALTRONICS","PLEASE ARRANGE FREIGHT","STOCK","Y","JOHN Mc",,,,,".52c",,,,"'-","'-",,
"PO00394","VLPE-093","10 Way 5.08mm Pluggable Terminal Plug",,"P2520","AG00004.1","Vaclift",12,"L01806",29.16,2.92,32.08,2.43,"AUD",29.16,2.92,32.08,2.43,"Received","Received","David C","05/05/2026","03/06/2026","06/05/2026",1,"04/05/2026",1,"04/05/2026","06/05/2026","06/05/2026",0,"V00042","ALTRONICS","PLEASE ARRANGE FREIGHT","STOCK","Y","JOHN Mc",,,,,,,,,,,,
"PO00394","VLPE-096","Switch push mom DPDT 3A (test board)",,"S1392","AG00005.3","Electrical",10,"L01801",47.9,4.79,52.69,4.79,"AUD",47.9,4.79,52.69,4.79,"Received","Received","David C","05/05/2026","13/05/2026","06/05/2026",1,"04/05/2026",1,"04/05/2026","06/05/2026","06/05/2026",0,"V00042","ALTRONICS","PLEASE ARRANGE FREIGHT","STOCK","Y","JOHN Mc",,,,,"$5.68",,,,"www.altronics.com.au","'-",,
"PO00394","VLPE-106","Term block line plugable 12 way 5.08",,"P2522","AG00005.3","Electrical",12,"L01803",34.8,3.48,38.28,2.9,"AUD",34.8,3.48,38.28,2.9,"Received","Received","David C","05/05/2026","13/05/2026","06/05/2026",1,"04/05/2026",1,"04/05/2026","06/05/2026","06/05/2026",0,"V00042","ALTRONICS","PLEASE ARRANGE FREIGHT","STOCK","Y","JOHN Mc",,,,,"$2.89","Altronics",,,"'-","'-",,
"PO00394","VLPE-118","Socket PCB 2way VTL (compressor) 5.08 green",,"P2572","AG00005.3","Electrical",12,"L01796",2.4,0.24,2.64,0.2,"AUD",2.4,0.24,2.64,0.2,"Received","Received","David C","05/05/2026","13/05/2026","06/05/2026",1,"04/05/2026",1,"04/05/2026","06/05/2026","06/05/2026",0,"V00042","ALTRONICS","PLEASE ARRANGE FREIGHT","STOCK","Y","JOHN Mc",,,,,".59c",,,,"www.techbrands.com","'-",,
"PO00394","VLPE-122","Housing white 3.96 4 way (hyd tilt)",,,"AG00005.3","Electrical",10,"L01798",0.01,0,0.01,0.001,"AUD",0.01,0,0.01,0.001,"Received","Received","David C","05/05/2026","13/05/2026","06/05/2026",1,"04/05/2026",1,"04/05/2026","06/05/2026","06/05/2026",0,"V00042","ALTRONICS","PLEASE ARRANGE FREIGHT","STOCK","Y","JOHN Mc",,,,,1.27,,,,"'-","'-",,
"PO00394","VLPE-123","Header white 3.96 4 way (hyd tilt)",,,"AG00005.3","Electrical",10,"L01799",0.01,0,0.01,0.001,"AUD",0.01,0,0.01,0.001,"Received","Received","David C","05/05/2026","13/05/2026","06/05/2026",1,"04/05/2026",1,"04/05/2026","06/05/2026","06/05/2026",0,"V00042","ALTRONICS","PLEASE ARRANGE FREIGHT","STOCK","Y","JOHN Mc",,,,,1.04,,,,"'-","'-",,
"PO00394","VLPE-163","300x300mm single sided PCB board blank",,"H0755","AG00005.3","Electrical",3,"L01804",87.72,8.77,96.49,29.24,"AUD",87.72,8.77,96.49,29.24,"Received","Received","David C","05/05/2026","13/05/2026","06/05/2026",1,"04/05/2026",1,"04/05/2026","06/05/2026","06/05/2026",0,"V00042","ALTRONICS","PLEASE ARRANGE FREIGHT","STOCK","Y","JOHN Mc",,,,,,,,,,,,
"PO00394","VLPE-186","NPN lace pin blue H2405",,"H2405","AG00004.1","Vaclift",0.001,"L01807",1.0E-6,0,1.0E-6,0.001,"AUD",1.0E-6,0,1.0E-6,0.001,"Received","Received","David C","05/05/2026","03/06/2026","06/05/2026",1,"04/05/2026",1,"04/05/2026","06/05/2026","06/05/2026",0,"V00042","ALTRONICS","PLEASE ARRANGE FREIGHT","STOCK","Y","JOHN Mc",,,,,,,,,,,,
"PO00394","VLPE-187","NPN W2270 red wire 18AWG heavy duty (REEL)",,"W2270","AG00004.1","Vaclift",0.01,"L01808",1.0E-6,0,1.0E-6,0.0001,"AUD",1.0E-6,0,1.0E-6,0.0001,"Received","Received","David C","05/05/2026","03/06/2026","06/05/2026",1,"04/05/2026",1,"04/05/2026","06/05/2026","06/05/2026",0,"V00042","ALTRONICS","PLEASE ARRANGE FREIGHT","STOCK","Y","JOHN Mc",,,,,,,,,,,,
"PO00393","CVL1000PT_01MF_001_REV A","Main Frame 501 - 1000kg Weldment","SN698",,"AG00004.1","Vaclift",1,"L01791",75,7.5,82.5,75,"$",75,7.5,82.5,75,"New PO","Requested","David C","01/05/2026","01/05/2026",,,,,,,,96,"V00183","BUNDALL POWDER COATING",,"STOCK","Y","JOHN Mc",,"Y",,,,,,,,,,
"PO00393","CVLB1000NT_01MF_001_REV A","Main Frame 0-1000kg to Suit 65 SHS Toolbar Weldment",,,"AG00004.1","Vaclift",4,"L01789",300,30,330,75,"$",300,30,330,75,"New PO","Requested","David C","01/05/2026","01/05/2026",,,,,,,,96,"V00183","BUNDALL POWDER COATING",,"STOCK","Y","JOHN Mc",,"Y",,,,,,,,,,
"PO00393","SDL_T_40_001","Leg Cap Weldment",,,"AG00004.1","Vaclift",10,"L01790",80,8,88,8,"$",80,8,88,8,"New PO","Requested","David C","01/05/2026","01/05/2026",,,,,,,,96,"V00183","BUNDALL POWDER COATING",,"STOCK","Y","JOHN Mc",,"Y",,,,,,,,,,
