"Number","Part No.","Part description","Free text","Vendor part no.","Group number","Group name","Quantity","Lot","Total","Tax","Total including tax","Unit cost","Currency","Total (in currency)","Tax (in currency)","Total including tax (in currency)","Unit cost (in currency)","Status","Product status","Created by","Created","Expected date","Arrival date","Order ID","Order date","Invoice ID","Invoice date","Due date","Shipped on","Delay","Vendor number","Vendor name","PO free text","B.W.E. Job ID","PO Emailed","Attention","NOTES","ACCOUNT","Notes","BWE added value cost","Buy Price","Supplier 1","S1 Buy price","Vender Part Number","Supplier 2","S2 Buy Price","Vender 2 Part Number","Sell Price"
"PO00049","A0000445","MS120 MACHINE SOLID 2011 T6 120.0MM X 1.50 MTR 1 @ 250",,"MS 120","AG00004","Blue Water Engineering",0.25,"L00239",127.56,12.76,140.32,510.24,"AUD",127.56,12.76,140.32,510.24,"Received","Received","Admin","22/07/2025","22/07/2025","23/07/2025",,"17/07/2025",75215037,"21/07/2025","30/08/2025",,1,"V00114","ACTION ALUMINIUM",,,,,,"N",,,510.24,"ACTION ALUMINIUM",,,,,,
"PO00048","A0000417","PAINT & COATINGS","AJM - SIGN ELECTROPOLISH SIGN",,"AG00004","Blue Water Engineering",3,"L00218",105,10.5,115.5,35,"AUD",105,10.5,115.5,35,"Received","Received","Admin","22/07/2025","22/07/2025","26/07/2025",,"16/07/2025",63047,"21/07/2025","30/08/2025",,4,"V00279","SOUTHERN STAINLESS",,"STOCK","Y","DAVID C",,"Y",,,,,,,,,,
"PO00048","A0000417","PAINT & COATINGS","ELECTROPOLISH 1 OFF NUMBER",,"AG00004","Blue Water Engineering",1,"L00220",10,1,11,10,"AUD",10,1,11,10,"Received","Received","Admin","22/07/2025","22/07/2025","26/07/2025",,"16/07/2025",63047,"21/07/2025","30/08/2025",,4,"V00279","SOUTHERN STAINLESS",,"STOCK","Y","DAVID C",,"Y",,,,,,,,,,
"PO00048","A0000417","PAINT & COATINGS","ELECTROPOLISH BADGES - MARITIMO",,"AG00004","Blue Water Engineering",48,"L00219",480,48,528,10,"AUD",480,48,528,10,"Received","Received","Admin","22/07/2025","22/07/2025","26/07/2025",,"16/07/2025",63047,"21/07/2025","30/08/2025",,4,"V00279","SOUTHERN STAINLESS",,"STOCK","Y","DAVID C",,"Y",,,,,,,,,,
"PO00047","A0000398","METAL BENDING AND FOLDING","FOLDING OF 5MM ALUMINIUM AS PER DRAWING X 10 COMPLETED AND DELIVERED 18/7/2025",,"AG00004","Blue Water Engineering",1,"L00209",130,13,143,130,"AUD",130,13,143,130,"Received","Received","Admin","21/07/2025","21/07/2025","28/08/2025",,"10/07/2025",20260032,"18/07/2025","21/08/2025",,38,"V00145","CUSTOM TRUCK BODIES AND TRAILERS",,,,,,,,,,,,,,,,
"PO00046","A0000395","CBL43CEOCOR500 CABLE ORANGE CIRCULAR 4MM7/085 3C+E 500M ORANGE SHEATH",,"CBL43CEOCOR500","AG00004","Blue Water Engineering",10,"L00206",52,5.2,57.2,5.2,"$",52,5.2,57.2,5.2,"Received","Received","Admin","21/07/2025","21/07/2025","18/07/2025",,"18/07/2025",15484417,"18/07/2025","30/08/2025",,0,"V00047","REXEL ELECTRICAL SUPPLIES",,"STOCK","Y","DAVID C",,,,,5.20,"REXEL ELECTRICAL SUPPLIES",,,,,,
"PO00046","A0000396","CLI9025TCM10GY CORRUGATED CONDUIT 25MM X 10MGREY MEDIUM DUTY TURBO",,"CLI9025TCM10GY","AG00004","Blue Water Engineering",1,"L00207",18.66,1.87,20.53,18.66,"$",18.66,1.87,20.53,18.66,"Received","Received","Admin","21/07/2025","21/07/2025","18/07/2025",,"18/07/2025",15484417,"18/07/2025","30/08/2025",,0,"V00047","REXEL ELECTRICAL SUPPLIES",,"STOCK","Y","DAVID C",,,,,18.66,"REXEL ELECTRICAL SUPPLIES",,,,,,
"PO00046","A0000397","CLIEY56P420",,"CLIEY56P420","AG00004","Blue Water Engineering",1,"L00208",53.77,5.38,59.15,53.77,"$",53.77,5.38,59.15,53.77,"Received","Received","Admin","21/07/2025","21/07/2025","18/07/2025",,"18/07/2025",15484417,"18/07/2025","30/08/2025",,0,"V00047","REXEL ELECTRICAL SUPPLIES",,"STOCK","Y","DAVID C",,,,,53.77,"REXEL ELECTRICAL SUPPLIES",,,,,,
"PO00045","PAC_FVLNT_001~01","Packing Crate to Suit FVLNT TB_2280",,,"AG00004.1","Vaclift",1,"L00205",200,20,220,200,"AUD",200,20,220,200,"Received","Received","Admin","21/07/2025","28/07/2025","17/07/2025",,"17/07/2025",00010391,"17/07/2025","30/08/2025",,0,"V00290","NERANG CABINETS",,"STOCK",,"DAVID C",,,,,,"Nerang Cabinets",,,,,,
"PO00044","A0000394","6201-2KNECM BALL BEARING ROW METRIC",,"6201-2NKECM","AG00004.1","Vaclift",6,"L00204",40.91,4.09,45,6.8183333333333,"$",40.91,4.09,45,6.8183333333333,"Received","Received","Admin","21/07/2025","21/07/2025","20/08/2025",,"17/07/2025",445738,"17/07/2025","30/08/2025","17/07/2025",30,"V00181","ALLIED BEARINGS & SEALS",,"STOCK",,"DAVID C",,,,,6.82,"ALLIED BEARINGS",,,,,,
